Names;Mesure0;Mesure1;Mesure2;Mesure3;Mesure4;Mesure5;Mesure6;Mesure7;Mesure8;Mesure9
LYCEE VINCENT D 'INDY (GENERAL ET TECHNO.);2012;33;47;75;47;202;88;91;97;159
LYCEE DES CHAUMES (GENERAL ET TECHNO.);2012;13;27;22;23;85;92;89;95;105
LYCEE ROUMANILLE;2012;16;38;69;20;143;100;89;100;157
LYCEE L'OISELET;2012;30;79;155;95;410;100;96;95;491
LYCEE HECTOR BERLIOZ (GENERAL ET TECHNO.);2012;23;69;70;29;191;96;96;91;213
LYCEE GASTON MONNERVILLE;2012;18;50;55;63;231;89;88;91;265
LYCEE FAUSTIN FLERET;2012;45;48;73;144;310;84;90;81;318
LYCEE STE ANNE;2012;65;64;123;56;308;75;81;90;314
LYCEE CAMILLE DESMOULINS (GENERAL ET TECHNO.);2012;16;14;21;23;74;88;100;71;95
LYCEE EUROPEEN MONTEBELLO;2012;85;81;136;58;360;88;88;81;374
LYCEE GUILLAUME BUDE (GENERAL ET TECHNO.);2012;29;61;127;83;365;69;90;89;346
LYCEE PAUL DOUMER (GENERAL ET TECHNO.);2012;22;47;38;49;201;77;79;82;158
LYCEE TEILHARD DE CHARDIN;2012;18;70;95;79;289;100;97;91;310
LYCEE SAMUEL DE CHAMPLAIN;2012;47;92;120;93;378;62;75;87;363
LYCEE FRANCOISE CABRINI;2012;21;35;48;59;228;100;97;96;244
LYCEE MAXIMILIEN SORRE;2012;24;46;29;66;228;88;83;72;178
LYCEE SUGER;2012;24;42;39;56;161;67;55;67;186
LYCEE AUGUSTE ANGELLIER;2012;48;87;150;62;431;92;91;97;488
LYCEE BEAUPRE (GENERAL ET TECHNO.);2012;30;52;83;57;237;83;88;84;221
LYCEE LOUIS PAYEN;2012;24;31;86;73;214;100;84;95;217
LYCEE JEAN PERRIN;2012;20;91;99;44;254;70;90;83;260
LYCEE MARIE MADELEINE FOURCADE;2012;36;107;117;82;394;69;93;93;359
LYCEE MAURICE GENEVOIX;2012;33;58;57;34;182;88;71;65;218
LYCEE DE LA PLASTURGIE V DE GARONNE;2012;31;43;104;69;327;87;98;97;371
LYCEE JEAN CASSAIGNE;2012;19;12;19;10;60;100;100;95;73
LYCEE GEORGE SAND;2012;20;22;24;16;82;90;95;96;90
LYCEE CAMILLE CLAUDEL;2012;22;59;89;51;233;91;85;96;246
LYCEE HENRI MOISSAN;2012;55;67;100;64;322;91;90;91;380
LYCEE SAINT ASPAIS (GENERAL ET TECHNO.);2012;32;70;116;93;311;100;100;100;361
LYCEE THIBAUT DE CHAMPAGNE (GENERAL ET TECHNO.);2012;24;36;43;51;154;88;75;98;204
LYCEE ETIENNE BEZOUT;2012;32;70;94;52;248;78;93;86;265
LYCEE JACQUES AMYOT;2012;27;45;90;24;186;81;93;83;190
LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.);2012;23;56;109;80;332;91;86;94;371
LYCEE ADAM DE CRAPONNE;2012;39;69;129;79;411;90;93;92;352
LYCEE HONORE ROMANE;2012;16;20;43;22;152;100;100;77;166
LYCEE SAINT CHARLES;2012;57;87;86;96;326;91;80;78;309
LYCEE THEODORE AUBANEL;2012;54;78;112;151;395;89;96;96;359
LYCEE LUCIE AUBRAC;2012;22;34;56;57;169;68;97;91;176
LYCEE LOUIS PERGAUD (GENERAL ET TECHNO.);2012;28;126;169;109;511;64;90;93;487
LYCEE CLAUDE NICOLAS LEDOUX (GENERAL ET TECHNO.);2012;20;83;125;59;287;95;96;96;295
LYCEE ST JOSEPH DU MONCEL;2012;4;32;19;26;81;100;100;89;88
LYCEE JEAN ROSTAND;2012;53;86;117;66;322;83;90;88;342
LYCEE PIERRE DE LA RAMEE;2012;22;91;109;90;354;95;77;83;289
LYCEE GAY LUSSAC;2012;30;87;91;84;378;90;87;78;349
LYCEE ISMAEL DAUPHIN;2012;26;68;80;92;266;96;94;95;296
LYCEE ST JEAN LA CROIX;2012;12;65;74;32;183;83;94;96;163
LYCEE LES HABERGES;2012;29;45;67;63;254;97;96;88;260
LYCEE ARMAND PEUGEOT;2012;17;35;60;27;151;82;91;82;172
LYCEE VICTOR HUGO;2012;27;87;130;59;346;78;89;95;347
LYCEE ST JOSEPH DE TIVOLI;2012;27;66;88;27;208;96;98;100;197
LYCEE BERTRAN DE BORN;2012;18;70;69;63;220;83;91;88;208
LYCEE FRANCOIS MAURIAC;2012;63;115;103;72;353;89;81;86;328
LYCEE FERNAND DAGUIN;2012;52;105;174;110;441;85;90;94;416
LYCEE MONTESQUIEU;2012;28;26;34;25;113;93;92;88;116
LYCEE MALHERBE;2012;83;104;150;46;388;99;90;91;400
LYCEE ST THOMAS D AQUIN;2012;17;27;53;28;125;100;100;100;152
LYCEE GASTON FEBUS;2012;41;41;61;31;174;90;98;98;184
LYCEE LOUIS BARTHOU;2012;68;102;187;68;425;91;98;97;377
LYCEE ROBERT DE MORTAIN (GENERAL ET TECHNO.);2012;16;35;45;16;141;100;83;91;128
LYCEE SALVADOR ALLENDE;2012;46;54;84;71;255;78;89;90;317
LYCEE NOTRE DAME DE LA PROVIDENCE;2012;12;22;33;30;97;100;82;88;74
LYCEE THOMAS HELYE;2012;28;49;60;14;151;100;98;93;133
LYCEE SIVARD DE BEAULIEU;2012;19;39;45;31;134;84;82;89;148
LYCEE GODEFROY DE BOUILLON;2012;26;53;47;60;217;88;92;94;188
LYCEE SAINT THOMAS D'AQUIN (GENERAL ET TECHNO.);2012;11;24;52;16;130;100;100;98;145
LYCEE ALBERT LONDRES;2012;49;91;133;67;365;98;79;83;413
LYCEE LEONARD DE VINCI;2012;48;105;85;45;283;94;90;98;311
LYCEE ST LAURENT-LA PAIX NOTRE DAME;2012;19;38;77;27;195;95;100;99;233
LYCEE EMILY BRONTE;2012;11;59;93;57;257;82;100;96;240
LYCEE JEAN PAUL DE ROCCA SERRA (GENERAL ET TECHNO.);2012;28;47;39;33;147;96;100;82;128
INSTITUT SAINT VINCENT DE PAUL;2012;7;25;31;26;206;100;92;90;209
LYCEE ERNEST COUTEAUX (GENERAL ET TECHNO.);2012;10;33;78;50;194;80;82;82;138
LYCEE ARTHUR RIMBAUD;2012;34;69;94;79;276;94;90;93;333
LYCEE LOUIS PASTEUR;2012;34;47;66;56;203;82;87;85;223
LYCEE ALBERT CAMUS;2012;26;62;46;48;278;85;76;78;212
LYCEE JEAN BAPTISTE DARNET;2012;25;33;58;22;138;92;88;86;161
LYCEE JEAN-BAPTISTE DE LA SALLE;2012;49;33;47;59;281;69;88;83;235
LYCEE LA MARTINIERE  DUCHERE;2012;17;82;127;68;424;53;90;91;443
LYCEE LA FAVORITE SAINTE THERESE;2012;12;30;67;51;160;92;100;99;181
LYCEE JULIETTE RÉCAMIER;2012;29;48;37;56;170;83;77;76;173
LYCEE JEAN PERRIN;2012;23;59;78;53;213;70;83;87;210
LYCEE CHARLES RENOUVIER (GENERAL ET TECHNO.);2012;27;19;46;23;193;81;89;91;156
LYCEE JEAN LURCAT (GENERAL ET TECHNO.);2012;81;34;91;65;334;70;85;85;339
LYCEE NOTRE-DAME (GENERAL ET TECHNO.);2012;9;17;24;11;93;89;94;100;104
LYCEE GEORGES DE LA TOUR;2012;15;30;29;39;113;80;77;90;115
LYCEE JULIE DAUBIE (GENERAL ET TECHNO.);2012;32;108;93;83;346;91;83;90;357
LYCEE JACQUES CALLOT;2012;22;70;86;67;245;95;94;83;210
LYCEE PIERRE ET MARIE CURIE (GENERAL ET TECHNO.);2012;12;43;72;48;175;58;93;89;169
LYCEE CARCOUET;2012;14;36;49;48;147;79;97;90;146
LYCEE SAINT LOUIS;2012;9;12;23;15;59;100;100;96;77
LYCEE LOUIS FEUILLADE (GENERAL ET TECHNO.);2012;65;59;95;82;301;80;76;79;323
LYCEE SAINT-JOSEPH (GENERAL ET TECHNO.);2012;17;21;35;20;93;88;100;100;104
LYCEE HENRI IV;2012;56;73;144;66;339;93;90;92;374
LYCEE ALBERT CAMUS;2012;43;105;118;61;327;81;90;94;389
LYCEE ARISTIDE BRIAND;2012;54;92;140;104;522;94;93;96;527
LYCEE LES BOURDONNIERES (GENERAL ET TECHNO.);2012;45;103;113;108;426;87;94;93;482
LYCEE AUGUSTE ET JEAN RENOIR;2012;39;45;68;34;186;97;89;99;247
LYCEE JACQUES PREVERT;2012;15;64;63;48;190;100;89;98;171
LYCEE LE MANS SUD (GENERAL ET TECHNO.);2012;19;41;68;79;249;84;93;94;259
LYCEE FRANCOIS TRUFFAUT;2012;18;39;85;33;185;83;95;98;262
LYCEE JACQUES AUDIBERTI;2012;57;95;105;110;367;72;85;85;375
LYCEE JEAN XXIII;2012;24;42;72;35;173;96;100;96;172
LYCEE ROLAND GARROS (GENERAL ET TECHNO.);2012;92;71;144;78;611;91;89;96;575
LYCEE AMIRAL PIERRE BOUVET;2012;24;50;81;98;321;88;72;79;182
LYCEE BELLEPIERRE;2012;61;72;103;193;463;72;88;96;404
LYCEE CATHOLIQUE LA SALLE ST CHARLES (GENERAL ET TECHNO.);2012;24;51;94;63;232;100;100;99;283
LYCEE BOISJOLY POTIER (GENERAL ET TECHNO.);2012;43;18;30;66;157;77;78;97;135
LYCEE DE BRAS FUSIL (GENERAL ET TECHNO.);2012;20;12;30;52;114;95;75;70;101
LYCEE SAINT JUDE;2012;13;69;81;35;198;85;96;100;241
LYCEE DU NOORDOVER;2012;59;82;129;68;338;80;87;87;298
LYCEE JEAN BART;2012;29;70;106;83;288;86;90;96;339
LYCEE FENELON;2012;31;92;166;33;322;84;87;85;305
LYCEE PIERRE DE COUBERTIN;2012;22;39;70;61;262;86;97;97;302
LYCEE LOUIS BLARINGHEM;2012;62;80;139;55;336;82;96;93;344
LYCEE HENRI WALLON;2012;14;68;115;57;254;71;91;89;304
LYCEE HONORE D'URFE;2012;60;67;87;66;461;78;82;94;501
LYCEE CHARLIE CHAPLIN (GENERAL ET TECHNO.);2012;21;103;193;115;475;76;74;85;438
LYCEE DU FOREZ;2012;36;54;118;31;274;94;93;94;262
LYCEE INTERNATIONAL;2012;42;157;183;50;432;90;96;98;459
LYCEE PAUL-LOUIS COURIER;2012;42;70;90;93;301;79;93;84;371
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.);2012;23;68;112;75;292;96;88;94;313
LYCEE FULBERT;2012;25;83;100;122;330;84;71;79;314
LYCEE PIERRE ET MARIE CURIE;2012;93;102;112;65;372;75;69;82;298
LYCEE HONORE DE BALZAC;2012;20;37;62;33;152;80;81;90;93
LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.);2012;29;81;58;42;240;90;88;88;242
LYCEE STE THERESE;2012;15;37;69;21;160;100;100;97;165
LYCEE LES SEPT MARES;2012;34;47;47;34;193;79;98;85;168
LYCEE MANSART;2012;15;70;93;52;256;87;86;95;245
LYCEE ST EXUPERY;2012;6;22;18;22;68;100;95;100;88
LYCEE MAINE DE BIRAN;2013;42;92;123;85;370;98;96;98;463
LYCEE GUSTAVE COURBET;2013;53;89;121;26;289;92;96;90;288
LYCEE JEAN CONDORCET;2013;25;32;38;83;178;92;81;84;151
LYCEE CHARLES DESPIAU;2013;32;82;128;79;370;100;99;95;360
LYCEE JEAN CASSAIGNE;2013;13;9;17;14;53;100;100;94;70
LYCEE FERNAND DAGUIN;2013;51;134;156;104;445;88;93;93;363
LYCEE SAINT EUGENE - SAINT JOSEPH (GENERAL ET TECHNO.);2013;5;18;11;20;83;100;100;91;56
LYCEE SAINT THOMAS D'AQUIN (GENERAL ET TECHNO.);2013;15;28;44;26;145;100;96;100;140
LYCEE CHARLES FRANCOIS LEBRUN;2013;53;54;80;46;233;87;93;90;256
LYCEE CEVENOL;2013;7;13;10;9;39;57;62;80;27
LYCEE MARIE CURIE;2013;44;51;94;24;274;93;88;97;274
LYCEE JEAN ROSTAND;2013;28;63;82;90;374;93;75;87;436
LYCEE SALVADOR ALLENDE;2013;54;67;102;84;307;89;97;91;361
INSTITUT SAINT-LO;2013;12;44;64;26;146;100;98;100;180
LYCEE LEONARD DE VINCI;2013;44;94;96;41;275;95;98;99;288
LYCEE GEORGES CLEMENCEAU (GENERAL ET TECHNO.);2013;13;21;17;16;67;92;86;100;59
LYCEE MONTDORY;2013;16;39;55;39;149;81;85;80;171
LYCEE MAURICE GENEVOIX (GENERAL ET TECHNO.);2012;17;70;135;53;300;100;91;93;304
LYCEE FRANCOIS VILLON;2012;36;106;137;43;345;89;91;88;353
LYCEE SAINTE SOLANGE (GENERAL ET TECHNO.);2012;3;20;18;17;58;100;90;94;67
LYCEE BALZAC;2012;63;102;134;65;364;81;87;94;336
LYCEE CHARLES PEGUY;2012;26;96;170;46;388;85;89;92;414
LYCEE VOLTAIRE;2012;54;79;157;62;426;76;86;87;471
LYCEE JEAN ZAY (GENERAL ET TECHNO.);2012;33;80;130;80;323;91;93;90;290
LYCEE SOPHIE GERMAIN;2012;48;81;65;36;230;100;96;95;226
LYCEE SEVIGNE;2012;18;53;94;66;341;89;91;86;328
LYCEE HENRI AVRIL;2012;25;57;87;40;209;92;91;98;244
LYCEE MONGE;2012;23;50;72;72;217;70;92;86;172
LYCEE COLBERT;2012;21;25;27;19;92;86;80;70;95
LYCEE PAUL VALERY;2012;68;55;43;24;190;78;67;84;154
LYCEE JEAN HYPPOLITE;2012;36;25;72;19;183;78;92;79;191
LYCEE ALIENOR D AQUITAINE;2012;24;66;57;83;343;75;94;88;349
LYCEE SAINT-EXUPERY;2012;42;61;64;75;242;86;89;84;228
LYCEE MARCELIN BERTHELOT;2012;57;80;127;28;292;93;94;94;293
LYCEE VICTOR HUGO;2012;66;118;130;73;387;88;97;93;387
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2012;31;95;84;47;257;84;88;82;212
LYCEE EMILE ROUX (GENERAL ET TECHNO.);2012;21;41;53;36;151;81;61;87;145
LYCEE FRANCOIS RABELAIS;2012;28;67;84;62;241;75;91;88;261
INSTITUTION ST MALO-PROVIDENCE;2012;38;92;93;30;253;97;98;100;285
LYCEE STE THERESE;2012;18;44;37;31;130;100;93;97;141
LYCEE RAYMOND QUENEAU (GENERAL ET TECHNO.);2012;47;63;94;81;320;87;95;93;308
LYCEE PORTE OCEANE (GENERAL ET TECHNO.);2012;16;31;15;77;139;56;52;73;156
LYCEE EMILE LITTRE (GENERAL ET TECHNO.);2013;51;76;97;62;304;92;91;93;312
LYCEE SIVARD DE BEAULIEU;2013;17;39;36;27;119;100;90;92;133
LYCEE AUGUSTIN FRESNEL;2013;34;81;108;62;285;94;93;94;259
LYCEE DE LA PLASTURGIE V DE GARONNE (GENERAL ET TECHNO.);2013;29;61;123;69;342;97;90;91;358
LYCEE STE MARIE BASTIDE;2013;22;34;59;57;236;95;97;100;259
LYCEE VICTOR LOUIS (GENERAL ET TECHNO.);2013;50;100;130;156;436;96;93;94;326
LYCEE SUD MEDOC LA BOETIE;2013;46;140;192;59;437;100;96;97;473
LYCEE ANATOLE DE MONZIE;2013;14;32;32;53;131;100;100;100;172
LYCEE RECLUS;2013;34;33;49;24;140;91;85;80;138
LYCEE ARNAUD DANIEL;2013;13;31;57;30;131;100;90;95;159
LYCEE L ASSOMPTION;2013;48;66;89;57;260;98;97;91;344
LYCEE NOTRE-DAME DE GRACE;2012;11;24;46;12;93;100;96;98;119
LYCEE SAINT PIERRE;2012;12;42;73;18;148;92;95;100;149
LYCEE EUGENE JAMOT;2012;27;18;34;19;98;85;94;94;92
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.);2012;15;49;68;58;190;80;92;78;152
LYCEE ANDRE MAUROIS;2012;12;70;82;59;223;67;87;93;204
LYCEE JEANNE D'ARC-ST IVY;2012;21;46;80;57;219;95;100;99;244
LYCEE PORTE DE NORMANDIE;2012;29;37;61;44;191;76;70;90;187
LYCEE GEORGES DUMEZIL;2012;67;100;147;101;440;81;92;93;424
LYCEE LES FONTENELLES;2012;30;89;100;59;315;83;83;92;307
LYCEE VALLEE DU CAILLY;2012;34;86;62;74;256;82;80;77;253
LYCEE BERTRAND D'ARGENTRE;2012;28;97;100;75;300;89;97;93;381
LYCEE LOUISE MICHEL;2012;32;71;79;84;266;81;86;86;239
LYCEE JEAN MERMOZ (GENERAL ET TECHNO.);2012;32;85;131;85;381;91;100;94;401
LYCEE JEAN JACQUES HENNER;2012;30;81;148;46;330;100;93;95;362
LYCEE LOUIS PASTEUR;2012;24;54;119;63;260;88;91;96;309
LYCEE RIBEAUPIERRE;2012;9;51;91;42;193;78;96;96;174
LYCEE AUGUSTE ET LOUIS LUMIERE (GENERAL ET TECHNO.);2013;32;78;72;42;254;91;78;81;237
LYCEE ALEXANDRA DAVID NEEL;2013;50;48;40;20;215;78;92;70;174
LYCEE FREDERIC JOLIOT-CURIE;2013;47;87;207;84;425;100;85;93;503
LYCEE MAURICE GENEVOIX;2013;43;60;60;57;220;63;80;90;216
LYCEE LOUIS PERGAUD;2013;34;104;172;108;504;94;92;95;521
LYCEE PIERRE MENDES FRANCE;2013;18;38;33;40;144;94;92;82;205
LYCEE CASSINI;2013;55;117;101;95;430;93;90;92;426
LYCEE ST JEAN LA CROIX;2013;18;62;77;29;186;100;100;100;164
LYCEE SAINT PIERRE;2013;10;19;48;9;86;100;100;96;93
LYCEE MONTALEMBERT;2013;16;50;44;24;134;88;100;93;97
LYCEE PIERRE D AILLY;2013;59;90;147;74;370;97;94;96;397
LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.);2013;29;51;114;64;332;90;80;88;357
LYCEE ANTONIN ARTAUD;2013;34;47;119;57;397;100;94;81;348
LYCEE EMPERI (L');2013;32;89;129;56;350;78;94;91;354
LYCEE PERIER;2013;28;69;134;83;314;86;86;80;320
LYCEE EVARISTE GALOIS (GENERAL ET TECHNO.);2012;17;33;34;51;176;94;79;74;163
LYCEE LA SALLE - SAINT ROSAIRE;2012;12;34;70;29;176;100;91;90;157
LYCEE GALILEE;2012;19;63;90;67;297;95;97;91;326
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2012;14;35;70;33;152;100;80;93;161
LYCEE JULIE-VICTOIRE DAUBIE;2012;45;65;64;58;232;91;86;77;283
LYCEE JEAN-JACQUES ROUSSEAU;2012;33;92;98;63;286;82;91;85;302
LYCEE LEONARD DE VINCI;2012;19;35;64;44;162;100;100;95;177
LYCEE FRAGONARD;2012;35;81;101;59;276;83;86;84;235
LYCEE D ALTITUDE (GENERAL ET TECHNO.);2013;15;41;97;33;217;100;98;98;196
LYCEE ALPHONSE DAUDET;2013;31;69;100;52;252;77;87;89;253
LYCEE LUCIE AUBRAC;2013;14;30;67;54;165;100;93;93;193
LYCEE ARC (DE L');2013;44;64;131;94;333;91;88;92;327
LYCEE CAMILLE CLAUDEL (GENERAL ET TECHNO.);2012;63;70;102;78;339;89;71;88;363
LYCEE DE VILLAROY;2012;16;62;102;57;262;81;89;91;279
LYCEE JEAN MONNET;2012;44;82;150;87;363;89;93;92;376
LYCEE C. ET P. VIRLOGEUX;2012;56;99;128;55;338;91;86;89;359
LYCEE SONIA DELAUNAY (GENERAL ET TECHNO.);2012;31;52;82;35;200;94;94;93;220
LYCEE MONTDORY;2012;15;29;56;31;131;93;97;95;136
LYCEE DU FIUM'ORBU (GENERAL ET TECHNO.);2012;8;20;30;22;80;88;80;87;80
LYCEE GALILEE;2012;28;46;63;33;170;100;96;94;198
LYCEE PAUL ELUARD;2012;45;51;108;65;415;71;90;89;402
LYCEE JACQUES FEYDER;2012;33;92;104;83;342;70;73;65;339
LYCEE PAUL ROBERT (GENERAL ET TECHNO.);2012;30;59;46;25;160;73;86;89;165
LYCEE OLYMPE DE GOUGES;2012;27;48;54;58;187;67;92;94;194
LYCEE CATHOLIQUE CHALONNAIS (GENERAL ET TECHNO.);2012;7;12;22;13;106;71;83;77;103
LYCEE SAINT BENIGNE (GENERAL ET TECHNO.);2012;15;34;29;85;177;100;97;93;204
LYCEE RAOUL FOLLEREAU;2012;16;67;42;71;242;100;81;88;204
LYCEE HILAIRE DE CHARDONNET (GENERAL ET TECHNO.);2012;17;66;61;35;179;71;91;90;188
LYCEE MONT BLANC RENE DAYVE;2012;25;99;124;66;345;92;98;94;358
LYCEE GABRIEL FAURE;2012;75;127;106;145;519;96;92;93;485
LYCEE ANNA DE NOAILLES (GENERAL ET TECHNO.);2012;16;53;86;42;197;100;98;91;242
LYCEE SAINT JOSEPH;2012;22;27;28;57;134;77;89;96;71
LYCEE JEAN ROSTAND (GENERAL ET TECHNO.);2012;23;68;69;74;304;78;81;81;284
LYCEE GEORGES CLEMENCEAU;2012;32;90;138;88;348;88;94;93;329
LYCEE MARCELIN BERTHELOT;2012;21;94;217;14;346;100;94;97;393
LYCEE EUGENE DELACROIX;2012;52;103;138;107;400;81;90;91;373
LYCEE PHILIBERT DELORME (GENERAL ET TECHNO.);2012;23;44;45;64;255;87;86;82;233
LYCEE ITEC BOISFLEURY EUROPE;2012;14;50;54;66;244;100;98;100;269
LYCEE MME DE STAEL;2012;25;68;135;43;271;88;88;88;270
LYCEE LA VERSOIE;2012;70;129;169;96;464;89;92;98;502
LYCEE DU GRESIVAUDAN (GENERAL ET TECHNO.);2012;31;133;206;40;435;84;95;99;422
LYCEE EDOUARD HERRIOT (GENERAL ET TECHNO.);2012;52;97;130;99;378;96;92;95;381
LYCEE MARLIOZ (GENERAL ET TECHNO.);2012;28;95;112;56;291;100;89;90;324
LYCEE JEAN MOULIN;2012;31;77;75;48;231;87;83;92;288
LYCEE PIERRE BEGHIN;2012;30;102;82;33;247;97;97;99;300
LYCEE UNITÉ SOINS ETUDES GRÉSIVAUDAN (GENERAL ET TECHNO.);2012;6;5;12;1;24;83;40;67;25
LYCEE SAINT LUC;2012;11;34;63;23;200;100;100;95;205
LYCEE JESSE DE FOREST (GENERAL ET TECHNO.);2012;32;67;59;17;202;78;94;86;181
LYCEE DE VINCENDO (GENERAL ET TECHNO.);2012;22;36;57;34;149;91;86;91;171
LYCEE CATHOLIQUE LEVAVASSEUR;2012;21;56;114;51;242;95;100;100;235
LYCEE MARGUERITE DE FLANDRE;2012;41;121;191;79;432;93;86;88;434
LYCEE SAINT REMI;2012;50;146;218;74;509;88;92;94;464
LYCEE DES FLANDRES;2012;28;63;109;74;274;75;98;94;324
LYCEE WATTEAU;2012;70;65;79;57;271;84;91;94;301
LYCEE DES DROITS DE L'HOMME;2012;66;102;95;126;448;82;78;77;416
